contract_id,product_type,principal,interest_rate,term_months,default_prob,default_prob_m,recovery_rate,default_month
1,consignado,22764.709488074575,0.02076827981981164,45,0.03440602933913846,0.002913402229086204,0.7790601884610668,
2,financiamento,30000.0,0.017215327332331914,53,0.035619587913513204,0.0030178906407709594,0.6009382352476046,
3,cartao,3161.347484692399,0.08436795169318681,8,0.08530023530651563,0.007402415623511294,0.3484364328627528,
4,consignado,25006.505609538883,0.010327205852877334,46,0.022154555558444183,0.0018652294354581933,0.578292299878038,
5,financiamento,105592.09215960088,0.01706131123807255,59,0.0777131742627713,0.006718910915416321,0.5350499824664987,57.0
6,cartao,663.8364460895455,0.09397882214124248,35,0.09386888587065552,0.008180627204754765,0.3152531494993831,
7,consignado,37896.73029792158,0.010049927883217626,56,0.03625976752003899,0.0030730592130517875,0.7089509072599574,
8,consignado,18713.549146711543,0.013492292295425283,59,0.011297713826742299,0.0009463867083095989,0.6805508172858126,
9,financiamento,108386.87394233361,0.02447220336421135,29,0.07029805550307452,0.006055858421080473,0.4639543443761265,
10,consignado,12570.827263687477,0.012394217068975527,31,0.022545129156496806,0.0018984586536294756,0.6934202101421066,
11,financiamento,47330.795676084,0.017494617588541757,46,0.055020081140408725,0.004704864088618033,0.5428528408357709,
12,cartao,2141.5864904669443,0.08297041023409153,32,0.13097722164300876,0.011630663275276287,0.21449883450837734,30.0
13,consignado,16740.87597818614,0.016069887881348544,72,0.032398125574655975,0.0027407840957882623,0.5636224363204563,
14,cartao,2599.01472837519,0.10222470606797995,11,0.11202885037457802,0.009852478633397332,0.16895401827498244,
15,financiamento,77865.46481664837,0.02332392577619074,36,0.07422532368209347,0.006406424466064986,0.505852989962512,
16,financiamento,53828.07656029447,0.011647701355429545,82,0.06190094126195177,0.005310824874600106,0.5807714948222062,66.0
17,consignado,15343.209215936686,0.016171336336634312,38,0.018731928263209012,0.0015745584965410897,0.5461267017457058,
18,financiamento,67714.39318302124,0.028752448931451687,49,0.08662722384830492,0.0075224953020794905,0.46139949530211744,
19,cartao,1162.6289114262333,0.08339355191430092,32,0.06,0.005143012831822946,0.23301102793118406,
20,consignado,23343.964932680174,0.009357111190869823,38,0.03410712300229399,0.002887684619466868,0.7039138283704068,1.0
21,consignado,10557.87745074201,0.010733307819969267,23,0.028037524750317157,0.002367034227333753,0.7372841023476644,
22,financiamento,33808.58791699637,0.01650691815297852,24,0.06302415771115018,0.0054101271839314125,0.43752301455286546,
23,cartao,2108.29653897048,0.11194064308554771,17,0.1158214713701463,0.010205589359982836,0.1329071857426628,
24,cartao,3526.7167713622684,0.07631579126341975,17,0.1446445011590555,0.012935450866065623,0.23425847566781818,
25,consignado,16488.396602931545,0.010373764661953014,72,0.027096173829395602,0.002286552202756975,0.5881693933573521,
26,financiamento,81907.52556204062,0.0208287360930961,25,0.08647855333161358,0.007509034100864342,0.6232081847476809,
27,consignado,40516.235371665054,0.015353582036150488,36,0.01779933065918623,0.0014955175895585704,0.710903519100573,
28,financiamento,30000.0,0.02146509164778605,79,0.022526944372495743,0.0018969112585597303,0.660883950136643,
29,financiamento,30000.0,0.016010573078498257,33,0.06918438046423658,0.005956693709084693,0.6080057792916486,
30,consignado,19693.681009764656,0.014285019039475124,22,0.029043763245521756,0.002453142947358433,0.7699374511301371,
31,consignado,10632.393801757384,0.011885523413485378,63,0.04432545948587558,0.0037710269754155368,0.6138202223443562,
32,cartao,1400.9588872890135,0.08005388846264816,23,0.12304439092190075,0.010881934075307242,0.21719712085767517,
33,financiamento,56451.41766318715,0.021276120360236215,24,0.05204276406638321,0.004443920394373024,0.48512271653270844,
